Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count
2020,FYTD,OCT,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,2
2020,FYTD,OCT,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,1
2020,FYTD,OCT,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,91
2020,FYTD,OCT,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,8
2020,FYTD,OCT,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,38
2020,FYTD,OCT,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,80
2020,FYTD,OCT,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,159
2020,FYTD,OCT,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2937
2020,FYTD,OCT,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,784
2020,FYTD,OCT,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,39
2020,FYTD,OCT,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,29
2020,FYTD,OCT,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,55
2020,FYTD,OCT,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,3083
2020,FYTD,OCT,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,2071
2020,FYTD,OCT,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,23
2020,FYTD,OCT,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,11
2020,FYTD,OCT,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,56
2020,FYTD,OCT,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,254
2020,FYTD,OCT,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,16
2020,FYTD,OCT,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,1153
2020,FYTD,OCT,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,2526
2020,FYTD,OCT,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,2813
2020,FYTD,OCT,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,914
2020,FYTD,OCT,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,2315
2020,FYTD,OCT,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,981
2020,FYTD,OCT,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,2396
2020,FYTD,OCT,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,2093
2020,FYTD,OCT,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,15055
2020,FYTD,OCT,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,2315
2020,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,346
2020,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,866
2020,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,543
2020,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,941
2020,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,145
2020,FYTD,APR,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,13
2020,FYTD,APR,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,4
2020,FYTD,APR,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,1
2020,FYTD,APR,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,0
2020,FYTD,APR,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,2
2020,FYTD,APR,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,16
2020,FYTD,APR,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,4
2020,FYTD,APR,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,8
2020,FYTD,APR,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,0
2020,FYTD,APR,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,13
2020,FYTD,APR,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,3
2020,FYTD,APR,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,12
2020,FYTD,APR,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,3
2020,FYTD,APR,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,442
2020,FYTD,APR,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,343
2020,FYTD,APR,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,12
2020,FYTD,APR,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,19
2020,FYTD,APR,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,UC / Single Minors,Honduras,Title 42,Expulsions,2
2020,FYTD,APR,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,0
2020,FYTD,APR,Office of Field Operations,UC / Single Minors,Mexico,Title 42,Expulsions,16
2020,FYTD,APR,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,10
2020,FYTD,APR,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,52
2020,FYTD,APR,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,79
2020,FYTD,APR,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,178
