,Unnamed: 0,nommun,cvemun,estado,region,id_poligon,eventos,inm_30km,sc_30km,geometry,buffer,facility_count
0,269,"Huimanguillo, Tabasco",27008.0,Tabasco,Sur,PG1456,86684,0,0,POINT (-93.6634408051158 17.7620967),"POLYGON ((-93.39212928522866 17.7620967, -93.3934357243539 17.735503520682197, -93.39734246000667 17.709166448218536, -93.40381186818699 17.683339123014147, -93.41278164495755 17.658270276329404, -93.42416540646467 17.634201334861903, -93.43785352086202 17.611364095675402, -93.45371416412532 17.58997849386737, -93.47159458958957 17.570250484473778, -93.49132259898317 17.552370059009515, -93.5127082007912 17.53650941574623, -93.5355454399777 17.522821301348866, -93.5596143814452 17.511437539841747, -93.58468322812995 17.50246776307119, -93.61051055333434 17.495998354890872, -93.636847625798 17.492091619238103, -93.6634408051158 17.490785180112866, -93.6900339844336 17.492091619238103, -93.71637105689726 17.495998354890872, -93.74219838210165 17.50246776307119, -93.7672672287864 17.511437539841747, -93.7913361702539 17.522821301348866, -93.8141734094404 17.53650941574623, -93.83555901124842 17.552370059009515, -93.85528702064202 17.570250484473778, -93.87316744610628 17.58997849386737, -93.88902808936957 17.611364095675402, -93.90271620376693 17.634201334861903, -93.91409996527405 17.658270276329404, -93.9230697420446 17.683339123014147, -93.92953915022493 17.709166448218536, -93.93344588587769 17.735503520682197, -93.93475232500293 17.7620967, -93.93344588587769 17.788689879317804, -93.92953915022493 17.815026951781466, -93.9230697420446 17.840854276985855, -93.91409996527405 17.865923123670598, -93.90271620376693 17.8899920651381, -93.88902808936957 17.9128293043246, -93.87316744610628 17.93421490613263, -93.85528702064202 17.953942915526223, -93.83555901124842 17.971823340990486, -93.8141734094404 17.98768398425377, -93.7913361702539 18.001372098651135, -93.7672672287864 18.012755860158254, -93.74219838210165 18.02172563692881, -93.71637105689726 18.02819504510913, -93.6900339844336 18.0321017807619, -93.6634408051158 18.033408219887136, -93.636847625798 18.0321017807619, -93.61051055333434 18.02819504510913, -93.58468322812995 18.02172563692881, -93.5596143814452 18.012755860158254, -93.5355454399777 18.001372098651135, -93.5127082007912 17.98768398425377, -93.49132259898317 17.971823340990486, -93.47159458958957 17.953942915526223, -93.45371416412532 17.93421490613263, -93.43785352086202 17.9128293043246, -93.42416540646467 17.8899920651381, -93.41278164495755 17.865923123670598, -93.40381186818699 17.840854276985855, -93.39734246000667 17.815026951781466, -93.3934357243539 17.788689879317804, -93.39212928522866 17.7620967))",1
1,270,"Centro, Tabasco",27004.0,Tabasco,Sur,PG1495,74160,1,7,POINT (-92.7747911804616 18.0271588),"POLYGON ((-92.50347966057447 18.0271588, -92.50478609969971 18.000565620682195, -92.50869283535248 17.974228548218534, -92.5151622435328 17.948401223014145, -92.52413202030336 17.9233323763294, -92.53551578181047 17.8992634348619, -92.54920389620783 17.8764261956754, -92.56506453947112 17.85504059386737, -92.58294496493538 17.835312584473776, -92.60267297432898 17.817432159009513, -92.624058576137 17.80157151574623, -92.6468958153235 17.787883401348864, -92.67096475679101 17.776499639841745, -92.69603360347575 17.76752986307119, -92.72186092868014 17.76106045489087, -92.7481980011438 17.7571537192381, -92.7747911804616 17.755847280112864, -92.8013843597794 17.7571537192381, -92.82772143224307 17.76106045489087, -92.85354875744746 17.76752986307119, -92.8786176041322 17.776499639841745, -92.9026865455997 17.787883401348864, -92.92552378478621 17.80157151574623, -92.94690938659423 17.817432159009513, -92.96663739598783 17.835312584473776, -92.98451782145209 17.85504059386737, -93.00037846471538 17.8764261956754, -93.01406657911274 17.8992634348619, -93.02545034061986 17.9233323763294, -93.03442011739041 17.948401223014145, -93.04088952557073 17.974228548218534, -93.0447962612235 18.000565620682195, -93.04610270034874 18.0271588, -93.0447962612235 18.053751979317802, -93.04088952557073 18.080089051781464, -93.03442011739041 18.105916376985853, -93.02545034061986 18.130985223670596, -93.01406657911274 18.155054165138097, -93.00037846471538 18.177891404324598, -92.98451782145209 18.19927700613263, -92.96663739598783 18.21900501552622, -92.94690938659423 18.236885440990484, -92.92552378478621 18.25274608425377, -92.9026865455997 18.266434198651133, -92.8786176041322 18.277817960158252, -92.85354875744746 18.286787736928808, -92.82772143224307 18.293257145109127, -92.8013843597794 18.297163880761897, -92.7747911804616 18.298470319887134, -92.7481980011438 18.297163880761897, -92.72186092868014 18.293257145109127, -92.69603360347575 18.286787736928808, -92.67096475679101 18.277817960158252, -92.6468958153235 18.266434198651133, -92.624058576137 18.25274608425377, -92.60267297432898 18.236885440990484, -92.58294496493538 18.21900501552622, -92.56506453947112 18.19927700613263, -92.54920389620783 18.177891404324598, -92.53551578181047 18.155054165138097, -92.52413202030336 18.130985223670596, -92.5151622435328 18.105916376985853, -92.50869283535248 18.080089051781464, -92.50478609969971 18.053751979317802, -92.50347966057447 18.0271588))",1
2,21,"Tapachula, Chiapas",7089.0,Chiapas,Sur,PG1530,70665,2,67,POINT (-92.2609265 14.9042905),"POLYGON ((-91.98961498011286 14.9042905, -91.9909214192381 14.877697320682197, -91.99482815489087 14.851360248218533, -92.00129756307119 14.825532923014146, -92.01026733984175 14.800464076329401, -92.02165110134887 14.776395134861904, -92.03533921574622 14.753557895675403, -92.05119985900951 14.73217229386737, -92.06908028447377 14.71244428447378, -92.08880829386737 14.694563859009513, -92.1101938956754 14.67870321574623, -92.1330311348619 14.665015101348864, -92.1571000763294 14.653631339841748, -92.18216892301415 14.644661563071189, -92.20799624821854 14.63819215489087, -92.2343333206822 14.634285419238104, -92.2609265 14.632978980112865, -92.2875196793178 14.634285419238104, -92.31385675178146 14.63819215489087, -92.33968407698585 14.644661563071189, -92.3647529236706 14.653631339841748, -92.3888218651381 14.665015101348864, -92.4116591043246 14.67870321574623, -92.43304470613262 14.694563859009513, -92.45277271552622 14.71244428447378, -92.47065314099048 14.73217229386737, -92.48651378425377 14.753557895675403, -92.50020189865113 14.776395134861904, -92.51158566015825 14.800464076329401, -92.5205554369288 14.825532923014146, -92.52702484510912 14.851360248218533, -92.53093158076189 14.877697320682197, -92.53223801988713 14.9042905, -92.53093158076189 14.930883679317803, -92.52702484510912 14.957220751781467, -92.5205554369288 14.983048076985854, -92.51158566015825 15.008116923670597, -92.50020189865113 15.032185865138096, -92.48651378425377 15.055023104324597, -92.47065314099048 15.076408706132629, -92.45277271552622 15.096136715526221, -92.43304470613262 15.114017140990487, -92.4116591043246 15.12987778425377, -92.3888218651381 15.143565898651136, -92.3647529236706 15.154949660158252, -92.33968407698585 15.163919436928811, -92.31385675178146 15.17038884510913, -92.2875196793178 15.174295580761896, -92.2609265 15.175602019887135, -92.2343333206822 15.174295580761896, -92.20799624821854 15.17038884510913, -92.18216892301415 15.163919436928811, -92.1571000763294 15.154949660158252, -92.1330311348619 15.143565898651136, -92.1101938956754 15.12987778425377, -92.08880829386737 15.114017140990487, -92.06908028447377 15.096136715526221, -92.05119985900951 15.07640870613263, -92.03533921574622 15.055023104324597, -92.02165110134887 15.032185865138096, -92.01026733984175 15.008116923670599, -92.00129756307119 14.983048076985854, -91.99482815489087 14.957220751781467, -91.9909214192381 14.930883679317803, -91.98961498011286 14.9042905))",4
3,271,"Tenosique, Tabasco",27017.0,Tabasco,Sur,PG1572,39620,1,34,POINT (-91.4220212 17.4707129),"POLYGON ((-91.15070968011287 17.4707129, -91.15201611923811 17.444119720682195, -91.15592285489087 17.417782648218534, -91.1623922630712 17.391955323014145, -91.17136203984175 17.3668864763294, -91.18274580134887 17.3428175348619, -91.19643391574623 17.3199802956754, -91.21229455900952 17.29859469386737, -91.23017498447378 17.278866684473776, -91.24990299386738 17.260986259009513, -91.2712885956754 17.24512561574623, -91.2941258348619 17.231437501348864, -91.3181947763294 17.220053739841745, -91.34326362301415 17.21108396307119, -91.36909094821854 17.20461455489087, -91.3954280206822 17.2007078192381, -91.4220212 17.199401380112864, -91.4486143793178 17.2007078192381, -91.47495145178146 17.20461455489087, -91.50077877698585 17.21108396307119, -91.5258476236706 17.220053739841745, -91.5499165651381 17.231437501348864, -91.5727538043246 17.24512561574623, -91.59413940613263 17.260986259009513, -91.61386741552623 17.278866684473776, -91.63174784099049 17.29859469386737, -91.64760848425378 17.3199802956754, -91.66129659865113 17.3428175348619, -91.67268036015825 17.3668864763294, -91.68165013692881 17.391955323014145, -91.68811954510913 17.417782648218534, -91.6920262807619 17.444119720682195, -91.69333271988714 17.4707129, -91.6920262807619 17.497306079317802, -91.68811954510913 17.523643151781464, -91.68165013692881 17.549470476985853, -91.67268036015825 17.574539323670596, -91.66129659865113 17.598608265138097, -91.64760848425378 17.621445504324598, -91.63174784099049 17.64283110613263, -91.61386741552623 17.66255911552622, -91.59413940613263 17.680439540990484, -91.5727538043246 17.69630018425377, -91.5499165651381 17.709988298651133, -91.5258476236706 17.721372060158252, -91.50077877698585 17.730341836928808, -91.47495145178146 17.736811245109127, -91.4486143793178 17.740717980761897, -91.4220212 17.742024419887134, -91.3954280206822 17.740717980761897, -91.36909094821854 17.736811245109127, -91.34326362301415 17.730341836928808, -91.3181947763294 17.721372060158252, -91.2941258348619 17.709988298651133, -91.2712885956754 17.69630018425377, -91.24990299386738 17.680439540990484, -91.23017498447378 17.66255911552622, -91.21229455900952 17.64283110613263, -91.19643391574623 17.621445504324598, -91.18274580134887 17.598608265138097, -91.17136203984175 17.574539323670596, -91.1623922630712 17.549470476985853, -91.15592285489087 17.523643151781464, -91.15201611923811 17.497306079317802, -91.15070968011287 17.4707129))",1
4,329,"Acayucan, Veracruz",,Veracruz,Golfo,PG1378,36446,1,25,POINT (-94.9145752 17.9487862),"POLYGON ((-94.64326368011287 17.9487862, -94.64457011923811 17.922193020682197, -94.64847685489087 17.895855948218536, -94.6549462630712 17.870028623014147, -94.66391603984175 17.844959776329404, -94.67529980134887 17.820890834861903, -94.68898791574622 17.798053595675402, -94.70484855900952 17.77666799386737, -94.72272898447378 17.756939984473778, -94.74245699386738 17.739059559009515, -94.7638425956754 17.72319891574623, -94.7866798348619 17.709510801348866, -94.8107487763294 17.698127039841747, -94.83581762301415 17.68915726307119, -94.86164494821854 17.682687854890872, -94.8879820206822 17.678781119238103, -94.9145752 17.677474680112866, -94.9411683793178 17.678781119238103, -94.96750545178146 17.682687854890872, -94.99333277698585 17.68915726307119, -95.0184016236706 17.698127039841747, -95.0424705651381 17.709510801348866, -95.0653078043246 17.72319891574623, -95.08669340613262 17.739059559009515, -95.10642141552623 17.756939984473778, -95.12430184099048 17.77666799386737, -95.14016248425378 17.798053595675402, -95.15385059865113 17.820890834861903, -95.16523436015825 17.844959776329404, -95.17420413692881 17.870028623014147, -95.18067354510913 17.895855948218536, -95.18458028076189 17.922193020682197, -95.18588671988714 17.9487862, -95.18458028076189 17.975379379317804, -95.18067354510913 18.001716451781466, -95.17420413692881 18.027543776985855, -95.16523436015825 18.052612623670598, -95.15385059865113 18.0766815651381, -95.14016248425378 18.0995188043246, -95.12430184099048 18.12090440613263, -95.10642141552623 18.140632415526223, -95.08669340613262 18.158512840990486, -95.0653078043246 18.17437348425377, -95.0424705651381 18.188061598651135, -95.0184016236706 18.199445360158254, -94.99333277698585 18.20841513692881, -94.96750545178146 18.21488454510913, -94.9411683793178 18.2187912807619, -94.9145752 18.220097719887136, -94.8879820206822 18.2187912807619, -94.86164494821854 18.21488454510913, -94.83581762301415 18.20841513692881, -94.8107487763294 18.199445360158254, -94.7866798348619 18.188061598651135, -94.7638425956754 18.17437348425377, -94.74245699386738 18.158512840990486, -94.72272898447378 18.140632415526223, -94.70484855900952 18.12090440613263, -94.68898791574622 18.0995188043246, -94.67529980134887 18.0766815651381, -94.66391603984175 18.052612623670598, -94.6549462630712 18.027543776985855, -94.64847685489087 18.001716451781466, -94.64457011923811 17.975379379317804, -94.64326368011287 17.9487862))",2
5,272,"Macuspana, Tabasco",27012.0,Tabasco,Sur,PG1534,31739,0,3,POINT (-92.596108 17.760922),"POLYGON ((-92.32479648011287 17.760922, -92.32610291923811 17.734328820682197, -92.33000965489087 17.707991748218536, -92.3364790630712 17.682164423014147, -92.34544883984175 17.657095576329404, -92.35683260134887 17.633026634861903, -92.37052071574622 17.610189395675402, -92.38638135900952 17.58880379386737, -92.40426178447377 17.569075784473778, -92.42398979386738 17.551195359009515, -92.4453753956754 17.53533471574623, -92.4682126348619 17.521646601348866, -92.4922815763294 17.510262839841747, -92.51735042301415 17.50129306307119, -92.54317774821854 17.494823654890872, -92.5695148206822 17.490916919238103, -92.596108 17.489610480112866, -92.6227011793178 17.490916919238103, -92.64903825178146 17.494823654890872, -92.67486557698585 17.50129306307119, -92.6999344236706 17.510262839841747, -92.7240033651381 17.521646601348866, -92.7468406043246 17.53533471574623, -92.76822620613262 17.551195359009515, -92.78795421552623 17.569075784473778, -92.80583464099048 17.58880379386737, -92.82169528425378 17.610189395675402, -92.83538339865113 17.633026634861903, -92.84676716015825 17.657095576329404, -92.8557369369288 17.682164423014147, -92.86220634510913 17.707991748218536, -92.86611308076189 17.734328820682197, -92.86741951988714 17.760922, -92.86611308076189 17.787515179317804, -92.86220634510913 17.813852251781466, -92.8557369369288 17.839679576985855, -92.84676716015825 17.864748423670598, -92.83538339865113 17.8888173651381, -92.82169528425378 17.9116546043246, -92.80583464099048 17.93304020613263, -92.78795421552623 17.952768215526223, -92.76822620613262 17.970648640990486, -92.7468406043246 17.98650928425377, -92.7240033651381 18.000197398651135, -92.6999344236706 18.011581160158254, -92.67486557698585 18.02055093692881, -92.64903825178146 18.02702034510913, -92.6227011793178 18.0309270807619, -92.596108 18.032233519887136, -92.5695148206822 18.0309270807619, -92.54317774821854 18.02702034510913, -92.51735042301415 18.02055093692881, -92.4922815763294 18.011581160158254, -92.4682126348619 18.000197398651135, -92.4453753956754 17.98650928425377, -92.42398979386738 17.970648640990486, -92.40426178447377 17.952768215526223, -92.38638135900952 17.93304020613263, -92.37052071574622 17.9116546043246, -92.35683260134887 17.8888173651381, -92.34544883984175 17.864748423670598, -92.3364790630712 17.839679576985855, -92.33000965489087 17.813852251781466, -92.32610291923811 17.787515179317804, -92.32479648011287 17.760922))",2
6,22,"Suchiate, Chiapas",7087.0,Chiapas,Sur,PG1529,28203,0,30,POINT (-92.241963360953 14.6321744),"POLYGON ((-91.97065184106586 14.6321744, -91.9719582801911 14.605581220682197, -91.97586501584387 14.579244148218534, -91.98233442402419 14.553416823014146, -91.99130420079474 14.528347976329403, -92.00268796230186 14.504279034861904, -92.01637607669922 14.481441795675403, -92.03223671996251 14.46005619386737, -92.05011714542677 14.44032818447378, -92.06984515482037 14.422447759009513, -92.09123075662839 14.40658711574623, -92.11406799581489 14.392899001348864, -92.1381369372824 14.381515239841749, -92.16320578396714 14.37254546307119, -92.18903310917153 14.36607605489087, -92.2153701816352 14.362169319238104, -92.241963360953 14.360862880112865, -92.2685565402708 14.362169319238104, -92.29489361273446 14.36607605489087, -92.32072093793884 14.37254546307119, -92.34578978462359 14.381515239841749, -92.3698587260911 14.392899001348864, -92.3926959652776 14.40658711574623, -92.41408156708562 14.422447759009513, -92.43380957647922 14.44032818447378, -92.45169000194348 14.46005619386737, -92.46755064520677 14.481441795675403, -92.48123875960412 14.504279034861904, -92.49262252111124 14.528347976329401, -92.5015922978818 14.553416823014146, -92.50806170606212 14.579244148218534, -92.51196844171488 14.605581220682197, -92.51327488084013 14.6321744, -92.51196844171488 14.658767579317804, -92.50806170606212 14.685104651781467, -92.5015922978818 14.710931976985854, -92.49262252111124 14.736000823670597, -92.48123875960412 14.760069765138097, -92.46755064520677 14.782907004324597, -92.45169000194348 14.804292606132629, -92.43380957647922 14.824020615526221, -92.41408156708562 14.841901040990487, -92.3926959652776 14.85776168425377, -92.3698587260911 14.871449798651136, -92.34578978462359 14.882833560158252, -92.32072093793884 14.89180333692881, -92.29489361273446 14.89827274510913, -92.2685565402708 14.902179480761896, -92.241963360953 14.903485919887135, -92.2153701816352 14.902179480761896, -92.18903310917153 14.89827274510913, -92.16320578396714 14.89180333692881, -92.1381369372824 14.882833560158252, -92.11406799581489 14.871449798651136, -92.09123075662839 14.85776168425377, -92.06984515482037 14.841901040990487, -92.05011714542677 14.824020615526221, -92.03223671996251 14.80429260613263, -92.01637607669922 14.782907004324597, -92.00268796230186 14.760069765138097, -91.99130420079474 14.736000823670599, -91.98233442402419 14.710931976985854, -91.97586501584387 14.685104651781467, -91.9719582801911 14.658767579317804, -91.97065184106586 14.6321744))",2
7,4,"Tijuana, Baja California",2004.0,Baja California,Pacifico,PG190,27405,1,47,POINT (-117.019529 32.5317397),"POLYGON ((-116.74821748011287 32.5317397, -116.74952391923811 32.505146520682196, -116.75343065489088 32.478809448218534, -116.7599000630712 32.452982123014145, -116.76886983984176 32.427913276329406, -116.78025360134887 32.40384433486191, -116.79394171574623 32.38100709567541, -116.80980235900952 32.35962149386737, -116.82768278447378 32.339893484473784, -116.84741079386738 32.322013059009514, -116.8687963956754 32.30615241574623, -116.8916336348619 32.292464301348865, -116.91570257632941 32.28108053984175, -116.94077142301416 32.27211076307119, -116.96659874821854 32.265641354890874, -116.9929358206822 32.261734619238105, -117.019529 32.26042818011287, -117.0461221793178 32.261734619238105, -117.07245925178147 32.265641354890874, -117.09828657698586 32.27211076307119, -117.1233554236706 32.28108053984175, -117.14742436513811 32.292464301348865, -117.17026160432461 32.30615241574623, -117.19164720613263 32.322013059009514, -117.21137521552623 32.339893484473784, -117.22925564099049 32.35962149386737, -117.24511628425378 32.38100709567541, -117.25880439865114 32.40384433486191, -117.27018816015826 32.427913276329406, -117.27915793692881 32.452982123014145, -117.28562734510913 32.478809448218534, -117.2895340807619 32.505146520682196, -117.29084051988714 32.5317397, -117.2895340807619 32.55833287931781, -117.28562734510913 32.58466995178147, -117.27915793692881 32.61049727698586, -117.27018816015826 32.6355661236706, -117.25880439865114 32.6596350651381, -117.24511628425378 32.6824723043246, -117.22925564099049 32.70385790613263, -117.21137521552623 32.72358591552622, -117.19164720613263 32.74146634099049, -117.17026160432461 32.75732698425377, -117.14742436513811 32.77101509865114, -117.1233554236706 32.78239886015825, -117.09828657698586 32.791368636928816, -117.07245925178147 32.79783804510913, -117.0461221793178 32.8017447807619, -117.019529 32.80305121988714, -116.9929358206822 32.8017447807619, -116.96659874821854 32.79783804510913, -116.94077142301416 32.791368636928816, -116.91570257632941 32.78239886015825, -116.8916336348619 32.77101509865114, -116.8687963956754 32.75732698425377, -116.84741079386738 32.74146634099049, -116.82768278447378 32.72358591552622, -116.80980235900952 32.70385790613263, -116.79394171574623 32.6824723043246, -116.78025360134887 32.6596350651381, -116.76886983984176 32.6355661236706, -116.7599000630712 32.61049727698586, -116.75343065489088 32.58466995178147, -116.74952391923811 32.55833287931781, -116.74821748011287 32.5317397))",1
8,23,"Huixtla, Chiapas",7040.0,Chiapas,Sur,PG1530,23755,3,3,POINT (-92.5039970760447 15.122125),"POLYGON ((-92.23268555615756 15.122125, -92.2339919952828 15.095531820682197, -92.23789873093557 15.069194748218534, -92.24436813911589 15.043367423014146, -92.25333791588645 15.018298576329403, -92.26472167739357 14.994229634861904, -92.27840979179092 14.971392395675403, -92.29427043505422 14.95000679386737, -92.31215086051847 14.93027878447378, -92.33187886991207 14.912398359009513, -92.3532644717201 14.89653771574623, -92.3761017109066 14.882849601348864, -92.4001706523741 14.871465839841749, -92.42523949905885 14.862496063071191, -92.45106682426324 14.85602665489087, -92.4774038967269 14.852119919238104, -92.5039970760447 14.850813480112866, -92.5305902553625 14.852119919238104, -92.55692732782616 14.85602665489087, -92.58275465303055 14.862496063071191, -92.6078234997153 14.871465839841749, -92.6318924411828 14.882849601348864, -92.6547296803693 14.89653771574623, -92.67611528217732 14.912398359009513, -92.69584329157092 14.93027878447378, -92.71372371703518 14.95000679386737, -92.72958436029847 14.971392395675403, -92.74327247469583 14.994229634861904, -92.75465623620295 15.018298576329402, -92.7636260129735 15.043367423014146, -92.77009542115383 15.069194748218534, -92.77400215680659 15.095531820682197, -92.77530859593183 15.122125, -92.77400215680659 15.148718179317804, -92.77009542115383 15.175055251781467, -92.7636260129735 15.200882576985855, -92.75465623620295 15.225951423670598, -92.74327247469583 15.250020365138097, -92.72958436029847 15.272857604324598, -92.71372371703518 15.294243206132629, -92.69584329157092 15.313971215526221, -92.67611528217732 15.331851640990488, -92.6547296803693 15.34771228425377, -92.6318924411828 15.361400398651137, -92.6078234997153 15.372784160158252, -92.58275465303055 15.38175393692881, -92.55692732782616 15.38822334510913, -92.5305902553625 15.392130080761897, -92.5039970760447 15.393436519887135, -92.4774038967269 15.392130080761897, -92.45106682426324 15.38822334510913, -92.42523949905885 15.38175393692881, -92.4001706523741 15.372784160158252, -92.3761017109066 15.361400398651137, -92.3532644717201 15.34771228425377, -92.33187886991207 15.331851640990488, -92.31215086051847 15.313971215526221, -92.29427043505422 15.29424320613263, -92.27840979179092 15.272857604324598, -92.26472167739357 15.250020365138097, -92.25333791588645 15.2259514236706, -92.24436813911589 15.200882576985855, -92.23789873093557 15.175055251781467, -92.2339919952828 15.148718179317804, -92.23268555615756 15.122125))",3
9,273,"Cardenas, Tabasco",27002.0,Tabasco,Sur,PG1495,23150,0,1,POINT (-93.3753314 17.990878),"POLYGON ((-93.10401988011286 17.990878, -93.1053263192381 17.964284820682195, -93.10923305489086 17.937947748218534, -93.11570246307119 17.912120423014144, -93.12467223984174 17.8870515763294, -93.13605600134886 17.8629826348619, -93.14974411574622 17.8401453956754, -93.16560475900951 17.81875979386737, -93.18348518447377 17.799031784473776, -93.20321319386737 17.781151359009513, -93.22459879567539 17.76529071574623, -93.24743603486189 17.751602601348864, -93.2715049763294 17.740218839841745, -93.29657382301414 17.73124906307119, -93.32240114821853 17.72477965489087, -93.3487382206822 17.7208729192381, -93.3753314 17.719566480112864, -93.4019245793178 17.7208729192381, -93.42826165178145 17.72477965489087, -93.45408897698584 17.73124906307119, -93.47915782367059 17.740218839841745, -93.5032267651381 17.751602601348864, -93.5260640043246 17.76529071574623, -93.54744960613262 17.781151359009513, -93.56717761552622 17.799031784473776, -93.58505804099048 17.81875979386737, -93.60091868425377 17.8401453956754, -93.61460679865112 17.8629826348619, -93.62599056015824 17.8870515763294, -93.6349603369288 17.912120423014144, -93.64142974510912 17.937947748218534, -93.64533648076188 17.964284820682195, -93.64664291988713 17.990878, -93.64533648076188 18.017471179317802, -93.64142974510912 18.043808251781464, -93.6349603369288 18.069635576985853, -93.62599056015824 18.094704423670596, -93.61460679865112 18.118773365138097, -93.60091868425377 18.141610604324597, -93.58505804099048 18.16299620613263, -93.56717761552622 18.18272421552622, -93.54744960613262 18.200604640990484, -93.5260640043246 18.21646528425377, -93.5032267651381 18.230153398651133, -93.47915782367059 18.241537160158252, -93.45408897698584 18.250506936928808, -93.42826165178145 18.256976345109127, -93.4019245793178 18.260883080761896, -93.3753314 18.262189519887134, -93.3487382206822 18.260883080761896, -93.32240114821853 18.256976345109127, -93.29657382301414 18.250506936928808, -93.2715049763294 18.241537160158252, -93.24743603486189 18.230153398651133, -93.22459879567539 18.21646528425377, -93.20321319386737 18.200604640990484, -93.18348518447377 18.18272421552622, -93.16560475900951 18.16299620613263, -93.14974411574622 18.141610604324597, -93.13605600134886 18.118773365138097, -93.12467223984174 18.094704423670596, -93.11570246307119 18.069635576985853, -93.10923305489086 18.043808251781464, -93.1053263192381 18.017471179317802, -93.10401988011286 17.990878))",1
